Porpotion,MaxTemp
0.36325,238.33574
0.63207,304.5619
0.94995,874.06464
0.02268,59.18862
0.06704,81.067085
0.01362,64.07441
0.98339,514.9176
0.02883,52.284607
0.21101,163.37451
0.91971,1048.9293
0.00082,12.58736
0.5312,500.28372
0.08735,129.91476
0.98345,452.64233
0.51837,656.7437
0.90754,405.82724
0.03159,77.445335
0.73067,413.5309
0.47248,351.90756
0.8373,261.8057
0.88184,583.65436
0.00202,27.124605
0.63873,326.56815
0.95595,443.20868
0.2381,547.9361
0.98886,701.5139
0.95647,390.51602
0.12822,116.76341
0.65233,558.64386
0.24624,208.6359
0.84451,485.97226
0.01306,71.51995
0.08517,164.99942
0.43449,297.52368
0.07573,79.66278
0.04139,86.68194
0.43737,229.89462
0.85891,986.9248
0.80572,1049.9852
0.28216,156.95444
0.51115,272.76508
0.60388,359.3586
0.12877,218.16827
0.09966,101.83502
0.11296,132.80624
0.88432,568.15436
0.90205,504.47244
0.22243,167.051
0.68051,312.58554
0.10073,124.87576
0.9054,333.77927
0.32629,223.98425
0.98519,608.41016
0.04627,65.93187
0.18673,213.34454
0.34712,334.0271
0.54798,268.36072
0.26358,115.905205
0.96844,649.6976
0.38026,356.10614
0.61225,417.71768
0.4871,159.869
0.8744,757.83826
0.00937,54.78556
0.68503,416.42136
0.97998,750.5965
0.92033,889.98676
0.97616,654.31696
0.55723,207.68254
0.17233,102.03591
0.74906,413.02823
0.16844,119.423775
0.75966,601.12054
0.99141,577.68787
1,1945.9657
0.93685,965.06256
0.84402,546.693
0.38309,244.79211
0.33256,285.542
0.06428,140.28409
0.02783,61.687077
0.61885,397.73395
0.80304,704.538
0.91244,1294.8522
0.21691,320.7426
0.80777,479.97537
0.95484,910.00977
0.73733,248.07999
0.00276,31.537138
0.00711,36.410458
0.15013,126.03579
0.9872,1136.6295
0.97865,547.6384
0.092,125.379135
0.86326,683.3443
0.93411,503.72998
0.28085,328.44632
0.56759,621.37585
0.26809,202.36221
0.9361,475.47708
